cod,fam,sp,dbh,inclin,ori,h,bark_detailed,bark_simp,Y,X,Z,orch_presence,moss_presence
157,Rubiaceae,Palicourea.angustifolia,1.6,66.0,190.0,2.1,lisa,lisa,710851.871,9558896.789,2278.963,0,1
159,Rubiaceae,Palicourea.angustifolia,1.5,67.0,130.0,2.3,lisa,lisa,710851.331,9558896.666,2279.813,0,1
160,Lauraceae,Persea.sp2,1.5,56.0,165.0,2.0,pustulas,pustulas,710853.589,9558900.005,2278.273,0,1
163,Rubiaceae,Palicourea.angustifolia,4.0,90.0,0.0,3.9,lisa,lisa,710853.367,9558899.221,2278.261,0,1
164,Arboles.muertos,arbol.muerto,4.0,90.0,360.0,2.2,estriada,estriada,710852.830,9558894.861,2278.308,0,1
166,Arboles.muertos,arbol.muerto,1.0,45.0,170.0,0.8,estriada,estriada,710851.448,9558897.855,2279.671,0,1
168,Arboles.muertos,arbol.muerto,6.4,64.0,120.0,3.5,estriada,estriada,710852.734,9558897.094,2278.688,0,1
170,Liana,Liana,2.3,15.0,50.0,9.6,pustulas,pustulas,710850.095,9558897.698,2280.367,0,1
174,Myrsinaceae,Myrsine.andina,7.0,60.0,100.0,4.9,estriada,estriada,710852.274,9558893.814,2278.217,0,1
177,Lauraceae,Persea.sp2,1.0,90.0,360.0,2.1,estriada,estriada,710854.048,9558894.523,2277.059,0,1
179,Lauraceae,Persea.sp2,2.0,23.0,93.0,1.4,estriada,estriada,710854.127,9558894.422,2277.148,0,1
181,Cyatheaceae,Cyathea.peladensis,2.3,30.0,120.0,1.8,estriada,estriada,710854.646,9558895.144,2276.853,0,1
182,Rubiaceae,Elaeagia.karstenii,2.2,13.0,180.0,1.8,estriada,estriada,710855.192,9558895.082,2276.795,0,1
183,Melastomataceae,Graffenrieda.emarginata,12.4,90.0,0.0,7.7,estriada,estriada,710855.183,9558896.643,2277.531,0,1
184,Euphorbiaceae,Alchornea.grandiflora,6.9,90.0,0.0,4.4,estriada,estriada,710855.428,9558896.561,2277.663,0,1
185,Euphorbiaceae,Alchornea.grandiflora,2.8,90.0,0.0,2.4,estriada,estriada,710855.554,9558896.529,2277.647,0,1
187,Myrsinaceae,Myrsine.andina,1.6,63.0,80.0,3.0,lisa,lisa,710856.249,9558898.056,2277.326,0,1
